steps,avg_rewards,episode_step,episode_head,eps_list,episode_loss,q_record,episode_reward,episode_times,episode_relative_times,eval_rewards,highest_eval_score,eval_stds,eval_steps,int_rew,total_rew,auxillary_loss
239,2.041868470865301,239,7,1.0,,,2.041868470865301,0.654055118560791,1.1253480911254883,3.6,9.0,4.409081537009721,50188.0,0.0017522675916552544,0.00017522675916552545,
419,1.5384146660799156,180,4,1.0,,,1.03496086129453,0.40947985649108887,1.5449726581573486,0.0,9.0,0.0,100289.0,0.0019428783562034369,0.0001942878356203437,
556,1.033615705448513,137,7,1.0,,,0.024017784185707575,0.32077622413635254,1.875713586807251,5.4,9.0,4.409081537009721,150824.0,0.0017555826343595982,0.00017555826343595982,
783,1.2853428568574596,227,2,1.0,,,2.0405243110843,0.5285263061523438,2.415347099304199,1.8,9.0,3.6000000000000005,201877.0,0.0017869840376079082,0.00017869840376079084,
947,1.2342337431758639,164,1,1.0,,,1.0297972884494806,0.3516371250152588,2.7755937576293945,0.0,9.0,0.0,252703.0,0.001815724652260542,0.0001815724652260542,
1216,1.5372117335520066,269,5,1.0,,,3.0521016854327194,0.5578572750091553,3.3442201614379883,0.0,9.0,0.0,302733.0,0.0019273675279691815,0.00019273675279691816,
1493,1.8967209970861276,277,4,1.0,,,4.0537765782908535,0.5400028228759766,3.891084909439087,0.0,9.0,0.0,352763.0,0.001944284187629819,0.0001944284187629819,
1621,1.6624852954511882,128,2,1.0,,,0.022835384006611992,0.2905573844909668,4.189641237258911,2.2,11.0,4.4,403845.0,0.0017849893774837255,0.00017849893774837258,
1752,1.4803155514346953,131,7,1.0,,,0.022957599302753807,0.2915506362915039,4.4879772663116455,,,,,0.0017564957961440086,0.00017564957961440088,
2029,1.6371358944184613,277,7,1.0,,,3.0485189812723545,0.5892832279205322,5.085155725479126,,,,,0.0017504820134490728,0.0001750482013449073,
2193,1.5818276314403525,164,7,1.0,,,1.0287450016592627,0.3147621154785156,5.40720272064209,,,,,0.0017549493350088596,0.00017549493350088596,
2333,1.4524171720161883,140,0,1.0,,,0.028902118350379178,0.2855038642883301,5.70190167427063,,,,,0.0020684553310275078,0.0002068455331027508,
2493,1.4196016426592206,160,8,1.0,,,1.0258152903756126,0.3130075931549072,6.023939609527588,,,,,0.0016177375800907612,0.00016177375800907612,
2754,1.535754226680313,261,3,1.0,,,3.0457378189545126,0.4531710147857666,6.48435640335083,,,,,0.0017524582799524069,0.0001752458279952407,
3031,1.6366072051211573,277,3,1.0,,,3.048548903292975,0.5326540470123291,7.025294065475464,,,,,0.0017529476899653673,0.00017529476899653674,
3185,1.5985058982652844,154,3,1.0,,,1.0269862954271967,0.3497297763824463,7.397796392440796,,,,,0.001755506033077836,0.00017555060330778363,
3386,1.565372719363008,201,7,1.0,,,1.0352418569265858,0.37684154510498047,7.783499240875244,,,,,0.0017532523488625884,0.00017532523488625885,
3555,1.535641542176664,169,2,1.0,,,1.0302115300088184,0.3401343822479248,8.132578611373901,,,,,0.0017886150162667036,0.00017886150162667037,
3718,1.5091431115110598,163,6,1.0,,,1.0321713595301834,0.2984931468963623,8.441441059112549,,,,,0.001972887897863984,0.00019728878978639842,
3846,1.4348077388579257,128,7,1.0,,,0.022435658448375757,0.2504894733428955,8.699257373809814,,,,,0.0017554140649735928,0.0001755414064973593,
3987,1.3676602553820147,141,3,1.0,,,0.02471058586379515,0.28202104568481445,8.989701747894287,,,,,0.0017548955511301756,0.00017548955511301756,
4124,1.3067219962641088,137,6,1.0,,,0.027018554788082832,0.25289011001586914,9.249069929122925,,,,,0.0019723367877304554,0.00019723367877304556,
4248,1.2507767778882026,124,8,1.0,,,0.019981973618268964,0.21870756149291992,9.47594404220581,,,,,0.0016141637461259961,0.00016141637461259962,
4488,1.325413396275932,240,3,1.0,,,3.042055619193705,0.4322836399078369,9.916280508041382,,,,,0.0017581572756171227,0.00017581572756171228,
4640,1.3135968451718798,152,6,1.0,,,1.029999618674628,0.2907371520996094,10.214640140533447,,,,,0.0019758783746510744,0.00019758783746510745,
4953,1.4191059881109351,313,1,1.0,,,4.056834561587313,0.5613658428192139,10.783134460449219,,,,,0.0018146473448723555,0.00018146473448723557,
5179,1.4421433932708438,226,1,1.0,,,2.0411159274284723,0.4324953556060791,11.22409987449646,,,,,0.001819786848500371,0.0001819786848500371,
5314,1.3914985099395771,135,2,1.0,,,0.024086659995373332,0.2348041534423828,11.470084428787231,,,,,0.0017846046248450875,0.00017846046248450877,
5443,1.3442951843720574,129,7,1.0,,,0.02260206848150121,0.25323057174682617,11.731103658676147,,,,,0.001754546887241304,0.0001754546887241304,
5583,1.3004482724921158,140,0,1.0,,,0.028887827973812837,0.25763463973999023,11.996070861816406,,,,,0.0020645989570766687,0.00020645989570766687,
5752,1.291711486502731,169,7,1.0,,,1.0296079068211836,0.30155038833618164,12.30471134185791,,,,,0.0017562913708388805,0.00017562913708388806,
5874,1.2520854219499595,122,4,1.0,,,0.023677420814055952,0.21241021156311035,12.524665117263794,,,,,0.0019456286681815982,0.00019456286681815982,
6051,1.245487724376179,177,4,1.0,,,1.0343614020152014,0.3025481700897217,12.835419416427612,,,,,0.0019466826925054193,0.00019466826925054195,
6177,1.2095752607544827,126,5,1.0,,,0.024463961238507182,0.2213428020477295,13.063900709152222,,,,,0.001940657151862979,0.0001940657151862979,
6317,1.1757920076205792,140,4,1.0,,,0.02716140106786041,0.291414737701416,13.36398983001709,,,,,0.0019472928252071142,0.00019472928252071143,
6552,1.1998513362082626,235,2,1.0,,,2.041927836777179,0.43111205101013184,13.80257773399353,,,,,0.0017839521169662476,0.00017839521169662478,
6942,1.3314302729754204,390,3,1.0,,,6.068271996593105,0.6735920906066895,14.485008001327515,,,,,0.0017483222763985395,0.00017483222763985397,
7103,1.3234513281311495,161,3,1.0,,,1.028230368893127,0.32694458961486816,14.822786092758179,,,,,0.001756365061737597,0.0001756365061737597,
7258,1.3159421833243983,155,6,1.0,,,1.0305946806678554,0.28070998191833496,15.11038327217102,,,,,0.0019755226094275713,0.00019755226094275713,
7421,1.308784169262508,163,1,1.0,,,1.0296216208487743,0.29616570472717285,15.415188074111938,,,,,0.0018156047444790602,0.00018156047444790603,
7713,1.3512804849805857,292,7,1.0,,,3.0511331137036906,0.5100655555725098,15.934580564498901,,,,,0.0017561737913638353,0.00017561737913638354,
7844,1.3197127810995362,131,5,1.0,,,0.025436921976506703,0.22715067863464355,16.17088532447815,,,,,0.0019414997659623623,0.00019414997659623624,
7998,1.2897282305731288,154,6,1.0,,,0.030377108464017522,0.3045339584350586,16.496333360671997,,,,,0.0019712294451892376,0.00019712294451892378,
8124,1.2608777208055306,126,8,1.0,,,0.020305800798814753,0.22020363807678223,16.722249507904053,,,,,0.0016141637461259961,0.00016141637461259962,
8384,1.3005384342858775,260,3,1.0,,,3.045609827421138,0.4422745704650879,17.172523975372314,,,,,0.0017512938939034939,0.0001751293893903494,
8574,1.316482116080284,190,2,1.0,,,2.033947796828579,0.37344813346862793,17.55329203605652,,,,,0.0017880521481856704,0.00017880521481856705,
8763,1.3104660702614173,189,2,1.0,,,1.0337279625935476,0.3902242183685303,17.952117919921875,,,,,0.0017867889255285263,0.00017867889255285263,
9042,1.3466016301807635,279,8,1.0,,,3.044972946390044,0.48406362533569336,18.445791006088257,,,,,0.001613902859389782,0.0001613902859389782,
9256,1.3607807616068865,214,5,1.0,,,2.0413790700607914,0.36150312423706055,18.815600156784058,,,,,0.0019264713628217578,0.00019264713628217578,
9608,1.4349307860182594,352,4,1.0,,,5.068281982175536,0.6626894474029541,19.48447036743164,,,,,0.001935647102072835,0.00019356471020728352,
9747,1.4072811385402086,139,2,1.0,,,0.02479876463767142,0.27951741218566895,19.77244210243225,,,,,0.0017846376867964864,0.00017846376867964865,
9967,1.4195002245166013,220,5,1.0,,,2.042673609312625,0.3866240978240967,20.165892839431763,,,,,0.0019332116935402155,0.00019332116935402157,
10139,1.4121760283005949,172,1,1.0,,,1.031317825068254,0.296919584274292,20.470704555511475,,,,,0.0018209395930171013,0.00018209395930171015,
10278,1.386492906523549,139,1,1.0,,,0.025287452340126037,0.23957586288452148,20.719491958618164,,,,,0.001820605481043458,0.00018206054810434582,
10416,1.3618022275053554,138,0,1.0,,,0.028505560522899043,0.25130343437194824,20.978625774383545,,,,,0.0020656597334891558,0.0002065659733489156,
10649,1.3919158770742275,233,0,1.0,,,3.0481666033621893,0.42647409439086914,21.41211438179016,,,,,0.002068921457976103,0.00020689214579761028,
10822,1.385528842029529,173,8,1.0,,,1.0278548795264206,0.2888917922973633,21.710186004638672,,,,,0.0016113158781081438,0.00016113158781081439,
10989,1.3794499724113845,167,6,1.0,,,1.0329544041771432,0.31438231468200684,22.033222436904907,,,,,0.001974049722775817,0.0001974049722775817,
11224,1.4076412558816056,235,1,1.0,,,3.0427356971544204,0.41553187370300293,22.45729970932007,,,,,0.0018189144320786,0.00018189144320786,
11393,1.3847357727711398,169,6,1.0,,,0.033312269253656275,0.3138248920440674,22.780221223831177,,,,,0.0019714483059942722,0.00019714483059942724,
11647,1.3955526860207548,254,3,1.0,,,2.04456748099765,0.4749155044555664,23.261184453964233,,,,,0.001758555881679058,0.0001758555881679058,
11858,1.40596272811226,211,4,1.0,,,2.0409752956940794,0.42455482482910156,23.69451355934143,,,,,0.001946914941072464,0.00019469149410724642,
12044,1.400090688594713,186,5,1.0,,,1.0360242385067984,0.4140493869781494,24.116636514663696,,,,,0.0019333986565470695,0.00019333986565470696,
12242,1.410063380415522,198,5,1.0,,,2.038342965126501,0.4124600887298584,24.537517070770264,,,,,0.0019269961630925536,0.00019269961630925537,
12424,1.4042450542821403,182,7,1.0,,,1.0318721817457095,0.3640592098236084,24.91019582748413,,,,,0.0017533618956804276,0.00017533618956804277,
12719,1.4293055558914076,295,6,1.0,,,3.058238160493783,0.7139532566070557,25.634500741958618,,,,,0.0019746480975300074,0.00019746480975300074,
12856,1.4083697438792588,137,5,1.0,,,0.026606151077430702,0.27644920349121094,25.918815851211548,,,,,0.0019414997659623623,0.00019414997659623624,
13032,1.4028178981392343,176,7,1.0,,,1.0308442335575805,0.3476400375366211,26.274190187454224,,,,,0.0017533706268295646,0.00017533706268295647,
13238,1.4119543137307196,206,8,1.0,,,2.033230573951732,0.4400038719177246,26.724832773208618,,,,,0.0016179995145648718,0.00016179995145648718,
13441,1.4208824905205983,203,1,1.0,,,2.036926689022219,0.39795851707458496,27.132108449935913,,,,,0.001815011608414352,0.0001815011608414352,
13567,1.4011559859477312,126,8,1.0,,,0.020300665847025817,0.22832369804382324,27.3687846660614,,,,,0.0016126948175951838,0.0001612694817595184,
13744,1.3959805327242871,177,8,1.0,,,1.028523353859782,0.36071014404296875,27.73758816719055,,,,,0.0016156428027898073,0.00016156428027898074,
13975,1.4049079938904916,231,0,1.0,,,2.047685197857207,0.4102950096130371,28.157030820846558,,,,,0.002057404024526477,0.0002057404024526477,
14110,1.386248149023221,135,2,1.0,,,0.024079473712481564,0.25963759422302246,28.425268411636353,,,,,0.0017834161408245564,0.00017834161408245564,
14347,1.408339150208669,237,1,1.0,,,3.0430732379318197,0.4768040180206299,28.910020112991333,,,,,0.0018140786560252309,0.0001814078656025231,
14515,1.40336814556136,168,1,1.0,,,1.0305427970131849,0.3005495071411133,29.219736099243164,,,,,0.001811344875022769,0.00018113448750227691,
14653,1.385462337807758,138,2,1.0,,,0.024620948533993204,0.24489974975585938,29.472959995269775,,,,,0.0017859706422314048,0.0001785970642231405,
14852,1.3938040417104132,199,1,1.0,,,2.0361152422148714,0.33666205406188965,29.816683292388916,,,,,0.0018101232126355171,0.0001810123212635517,
14979,1.3764425605276147,127,3,1.0,,,0.022247028269339348,0.23291707038879395,30.057894229888916,,,,,0.001757394289597869,0.00017573942895978691,
15121,1.3596036552375879,142,0,1.0,,,0.029330137325450773,0.2804877758026123,30.345932483673096,,,,,0.0020663822069764137,0.00020663822069764138,
15253,1.343134853433254,132,4,1.0,,,0.025630709086544815,0.2507624626159668,30.604793071746826,,,,,0.0019423277117311954,0.00019423277117311955,
15437,1.339414166949303,184,0,1.0,,,1.038038561749271,0.3137695789337158,30.927839756011963,,,,,0.002067339839413762,0.00020673398394137623,
15676,1.3599445685003715,239,1,1.0,,,3.0434374956879777,0.4357459545135498,31.372592449188232,,,,,0.001811963738873601,0.0001811963738873601,
15813,1.3440514584404548,137,1,1.0,,,0.024923323467373845,0.22881722450256348,31.608858823776245,,,,,0.0018183967331424356,0.00018183967331424357,
15985,1.3404031580063402,172,6,1.0,,,1.0339459215407263,0.3501858711242676,31.967947959899902,,,,,0.0019764085300266743,0.00019764085300266743,
16147,1.3367873633621519,162,1,1.0,,,1.0294448186061345,0.33663296699523926,32.31158947944641,,,,,0.001812776317819953,0.0001812776317819953,
16414,1.356461920809996,267,1,1.0,,,3.0484738613246023,0.5277132987976074,32.847899436950684,,,,,0.0018156662117689848,0.0001815666211768985,
16599,1.3528258271301057,185,6,1.0,,,1.0364856769796462,0.3760387897491455,33.23057723045349,,,,,0.001973429461941123,0.0001973429461941123,
16830,1.3606008607410207,231,4,1.0,,,2.0448038185015314,0.49346256256103516,33.73395609855652,,,,,0.0019389087101444602,0.00019389087101444604,
16992,1.3569153739998323,162,2,1.0,,,1.0289070540340608,0.31473278999328613,34.057273387908936,,,,,0.001784931868314743,0.0001784931868314743,
17177,1.3533630681013082,185,1,1.0,,,1.0336555372341538,0.35448765754699707,34.418243169784546,,,,,0.0018187020905315876,0.00018187020905315878,
17320,1.33892502767621,143,3,1.0,,,0.02506334899226202,0.25067806243896484,34.67728877067566,,,,,0.0017543213907629251,0.00017543213907629253,
17446,1.3247909616603846,126,4,1.0,,,0.02445688820444047,0.2704887390136719,34.95667362213135,,,,,0.0019447841914370656,0.00019447841914370658,
17656,1.3323646002551885,210,7,1.0,,,2.0367129895719684,0.4081082344055176,35.37505888938904,,,,,0.0017487055156379938,0.0001748705515637994,
17829,1.329185333637349,173,3,1.0,,,1.0303342715604233,0.32414770126342773,35.70908260345459,,,,,0.001757764257490635,0.0001757764257490635,
17959,1.3155860951555949,130,1,1.0,,,0.02365843938896432,0.25333213806152344,35.97307062149048,,,,,0.001818148186430335,0.00018181481864303352,
18161,1.3229776625263445,202,8,1.0,,,2.032568130118306,0.3821146488189697,36.36459541320801,,,,,0.0016150901792570949,0.0001615090179257095,
18513,1.3610768027774685,352,8,1.0,,,5.056693407136483,0.6812067031860352,37.054933071136475,,,,,0.0016118311323225498,0.000161183113232255,
18659,1.3475870016299072,146,7,1.0,,,0.025586489168927078,0.2510364055633545,37.312801361083984,,,,,0.0017535912338644266,0.00017535912338644268,
18858,1.3544667883398942,199,2,1.0,,,2.035565672628582,0.3863062858581543,37.708460330963135,,,,,0.0017887270078063011,0.00017887270078063012,
19017,1.344356682063313,159,4,1.0,,,1.0308578432071949,0.34122490882873535,38.057188510894775,,,,,0.0019452831475064158,0.00019452831475064158,
19176,1.3442857221673474,159,7,1.0,,,1.0278648716979661,0.31166744232177734,38.374932527542114,,,,,0.0017533214995637536,0.00017533214995637538,
19315,1.3442983361810912,139,1,1.0,,,0.02527918556006626,0.26734256744384766,38.65126061439514,,,,,0.0018192382995039225,0.00018192382995039225,
19567,1.3544129220370666,252,0,1.0,,,3.0519828966818747,0.5027189254760742,39.16090941429138,,,,,0.0020612862426787615,0.00020612862426787616,
19797,1.3645612332246961,230,4,1.0,,,2.044628407212439,0.461076021194458,39.62983703613281,,,,,0.0019436030415818095,0.00019436030415818096,
20018,1.3544421133048592,221,1,1.0,,,2.0401896934490664,0.4487624168395996,40.0865273475647,,,,,0.0018177791498601437,0.00018177791498601438,
20206,1.3242397732657845,188,2,1.0,,,1.0335425743833193,0.33626818656921387,40.43021249771118,,,,,0.0017848029965534806,0.00017848029965534807,
20421,1.3444360207209822,215,6,1.0,,,2.042460129526444,0.3716878890991211,40.81122159957886,,,,,0.001975842285901308,0.00019758422859013082,
20635,1.3645961112376535,214,1,1.0,,,2.0389666509698134,0.4069681167602539,41.22742295265198,,,,,0.0018211585702374578,0.00018211585702374578,
20924,1.3646718801420645,289,5,1.0,,,3.0560958717134783,0.5209858417510986,41.754969358444214,,,,,0.0019397474825382233,0.00019397474825382234,
21108,1.3747414144212378,184,5,1.0,,,2.035698429576586,0.3146538734436035,42.077707290649414,,,,,0.0019383082399144769,0.0001938308239914477,
21295,1.39479186483589,187,1,1.0,,,2.033947159815579,0.3164403438568115,42.403395652770996,,,,,0.0018088899087160826,0.00018088899087160827,
21456,1.39481595641782,161,7,1.0,,,1.0282244485686525,0.3104853630065918,42.72318911552429,,,,,0.0017558217514306307,0.00017558217514306308,
21648,1.374694852912915,192,3,1.0,,,1.033627468463965,0.32149600982666016,43.05229115486145,,,,,0.0017534976359456778,0.00017534976359456778,
