steps,avg_rewards,episode_step,episode_head,eps_list,episode_loss,q_record,episode_reward,episode_times,episode_relative_times,eval_rewards,highest_eval_score,eval_stds,eval_steps,int_rew,total_rew,auxillary_loss
465,13.080253558116965,465,7,1.0,,,13.080253558116965,1.0975465774536133,2.3469536304473877,0.0,0.0,0.0,50128.0,0.001713384292088449,0.00017133842920884492,
1001,11.586345134611474,536,4,1.0,,,10.092436711105982,0.8941845893859863,3.2546026706695557,638.4,651.0,10.287856919689348,100584.0,0.0017029355512931943,0.00017029355512931943,
1475,10.751493258867415,474,7,1.0,,,9.081789507379296,0.8307042121887207,4.099802494049072,,,,,0.001701015280559659,0.0001701015280559659,
2140,11.842283667903395,665,2,1.0,,,15.114654895011332,1.2012524604797363,5.31386137008667,,,,,0.0017100539989769459,0.0001710053998976946,
2822,12.297341645075942,682,1,1.0,,,14.117573553766128,1.2116072177886963,6.540517091751099,,,,,0.0017081478144973516,0.00017081478144973517,
3492,13.433694655576259,670,5,1.0,,,19.115459708077843,1.1076481342315674,7.664173126220703,,,,,0.0017108821775764227,0.00017108821775764228,
4202,13.674927943184908,710,4,1.0,,,15.1223276688368,1.2755413055419922,8.954105138778687,,,,,0.0017151238862425089,0.0001715123886242509,
4862,13.479778152875955,660,2,1.0,,,12.113729620713288,1.156581163406372,10.125876188278198,,,,,0.0017085385043174028,0.0001708538504317403,
5404,13.214637868978192,542,7,1.0,,,11.093515597796081,0.926478385925293,11.067813634872437,,,,,0.001706110779196024,0.0001706110779196024,
6072,13.404678338159579,668,7,1.0,,,15.115042560792068,1.143876314163208,12.22562861442566,,,,,0.0017204410396516323,0.00017204410396516324,
6732,13.287321422059643,660,7,1.0,,,12.113752261060286,1.1895439624786377,13.43113112449646,,,,,0.0017096598166972399,0.000170965981669724,
7444,13.440262053881698,712,0,1.0,,,15.122609003924314,1.3137705326080322,14.760883331298828,,,,,0.0017058865632861853,0.00017058865632861854,
7820,13.103724265280363,376,8,1.0,,,9.065270802064337,0.6468873023986816,15.424963235855103,,,,,0.001710930373519659,0.0001710930373519659,
8559,13.176837827217868,739,3,1.0,,,14.127314132405454,1.341601848602295,16.777320623397827,,,,,0.0017218186985701323,0.00017218186985701323,
9100,12.971281162821692,541,3,1.0,,,10.093487861275213,0.9272432327270508,17.721699953079224,,,,,0.0017088126624003053,0.00017088126624003054,
