steps,avg_rewards,episode_step,episode_head,eps_list,episode_loss,q_record,episode_reward,episode_times,episode_relative_times,eval_rewards,highest_eval_score,eval_stds,eval_steps
165584,0.0,2042,4,0.8865831250000001,0.00012329354086270465,0.2019374817609787,0,19.717315673828125,1318.2808151245117,,,,
167625,0.0,2041,0,0.8845620400000002,0.0001236473007514996,0.2019374519586563,0,19.818166971206665,1338.1281914710999,,,,
169668,0.0,2043,1,0.8825404600000002,0.00012248154014456714,0.20193792879581451,0,20.07382869720459,1358.2643024921417,,,,
171714,0.0,2046,1,0.8805164050000001,0.00012330629381204712,0.21452723443508148,0,19.81714630126953,1378.1063232421875,,,,
173756,0.0,2042,6,0.878492845,0.0001259236867984856,0.21697041392326355,0,20.180871725082397,1398.3349928855896,,,,
175803,0.0,2047,1,0.87646879,0.00012334135283385015,0.21696992218494415,0,19.936588764190674,1418.2955567836761,,,,
177847,0.0,2044,1,0.8744437450000002,0.0001273513124849693,0.21696928143501282,0,20.026496410369873,1438.3663799762726,,,,
179894,0.0,2047,6,0.8724187,0.00011921536667121776,0.21696966886520386,0,19.884562015533447,1458.2786400318146,,,,
181935,0.0,2041,4,0.8703951400000001,0.00013410250477831784,0.23153269290924072,0,19.913466453552246,1478.219215631485,,,,
183976,0.0,2041,2,0.8683745500000001,0.00012913597064480756,0.2323457896709442,0,19.979642868041992,1498.248693227768,,,,
186024,0.0,2048,1,0.866350495,0.00012945979091622602,0.2323465347290039,0,20.03805136680603,1518.3102526664734,,,,
188067,0.0,2043,3,0.86432545,0.00012643122526973387,0.2323465645313263,0,20.289198398590088,1538.8998925685883,,,,
190110,0.0,2043,4,0.8623028800000002,0.00012295795960046952,0.23317714035511017,0,19.851308345794678,1558.779428243637,,,,
192151,0.0,2041,7,0.8602813000000001,0.00013412993171454325,0.24806149303913116,0,19.85624361038208,1578.685114145279,,,,
194193,0.0,2042,3,0.8582602150000002,0.00013702703101402925,0.24806229770183563,0,19.761266231536865,1598.472503900528,,,,
196235,0.0,2042,1,0.8562386350000001,0.0001240559559032204,0.24806061387062073,0,20.082343816757202,1618.602280139923,,,,
198276,0.0,2041,8,0.8542175500000001,0.00013435840942203016,0.24806106090545654,0,19.98801279067993,1638.6195888519287,,,,
200319,0.0,2043,8,0.8521959700000001,0.00014212211519371324,0.2506956160068512,0,19.911675930023193,1658.577080488205,,,,
202366,0.0,2047,7,0.85017142,0.00013122983566660196,0.26506274938583374,0,20.05040740966797,1678.673582792282,,,,
204409,0.0,2043,2,0.8481468700000001,0.0001322174737172976,0.26506307721138,0,20.047922372817993,1698.7561502456665,,,,
206457,0.0,2048,4,0.8461218250000001,0.00012611998962341886,0.2650628089904785,0,19.830573081970215,1750.7209849357605,,,,
208505,0.0,2048,7,0.844094305,0.00012615863067506124,0.2650625705718994,0,19.840853214263916,1770.609953403473,,,,
210550,0.0,2045,1,0.8420682700000002,0.0001318236986665635,0.2686138451099396,0,19.99625873565674,1790.6333117485046,,,,
212597,0.0,2047,0,0.8400427300000001,0.00012820269042082249,0.27830514311790466,0,19.99319100379944,1810.6704745292664,,,,
214643,0.0,2046,4,0.838016695,0.000132612722565534,0.27830377221107483,0,19.89047360420227,1830.8284404277802,,,,
216686,0.0,2043,1,0.8359926400000001,0.00014725377147125477,0.27830538153648376,0,19.98934555053711,1850.8623371124268,,,,
218730,0.0,2044,2,0.8339695750000001,0.00012711974167044953,0.2783053517341614,0,19.873126983642578,1870.763550043106,,,,
220772,0.0,2042,6,0.8319470050000001,0.0001381195977749875,0.28372734785079956,0,20.161648750305176,1890.969527721405,,,,
222815,0.0,2043,1,0.8299249300000001,0.00014148930818118813,0.2926666736602783,0,20.005160570144653,1911.00243806839,,,,
224863,0.0,2048,5,0.8278998850000001,0.00012448720365338458,0.29266515374183655,0,19.89404535293579,1930.9404640197754,,,,
226909,0.0,2046,5,0.825873355,0.00013694999605304598,0.29266709089279175,0,21.12516736984253,1952.0917088985443,,,,
228950,0.0,2041,1,0.8238502900000001,0.00012281040530196546,0.2926671504974365,0,21.241374969482422,1973.3657202720642,,,,
230992,0.0,2042,7,0.8218292050000002,0.00012908318300593422,0.2998333275318146,0,21.02786111831665,1994.4471182823181,,,,
233036,0.0,2044,3,0.8198066350000002,0.00014022332392160365,0.30742815136909485,0,21.226600646972656,2015.7089710235596,,,,
235084,0.0,2048,5,0.8177810950000001,0.0001448550708376375,0.30742964148521423,0,20.52501916885376,2036.2822480201721,,,,
237126,0.0,2042,2,0.815756545,0.00013713631214315783,0.30743080377578735,0,20.08120346069336,2056.393436908722,,,,
239169,0.0,2043,2,0.8137344700000001,0.00013587871577644395,0.30743151903152466,0,20.270659685134888,2076.707188129425,,,,
241215,0.0,2046,5,0.8117104150000001,0.0001433764521315282,0.31750616431236267,0,20.254472255706787,2097.2437772750854,,,,
243261,0.01,2046,5,0.8096848750000002,0.0001457040867099598,0.3244244158267975,1,20.025327920913696,2117.3197009563446,,,,
245302,0.01,2041,2,0.80766181,0.0001325419926498816,0.32442668080329895,0,19.954370737075806,2137.3027629852295,,,,
247348,0.01,2046,4,0.8056387450000001,0.00013586345048900562,0.3244238495826721,0,20.26146626472473,2157.6138677597046,,,,
249390,0.01,2042,3,0.8036151850000001,0.00013054378380022375,0.32442405819892883,0,20.091437578201294,2177.7327752113342,,,,
251431,0.01,2041,2,0.8015941000000001,0.00014441870766809673,0.3342907428741455,0,20.12370753288269,2197.900444984436,,,,
253474,0.01,2043,1,0.79957252,0.00014076330827665013,0.33853447437286377,0,20.142170429229736,2218.0735454559326,,,,
255519,0.01,2045,8,0.7975489600000001,0.00014952697043053387,0.33852076530456543,0,20.049734592437744,2238.1490190029144,,,,
257562,0.01,2043,8,0.7955254000000002,0.00013176450431128187,0.33852145075798035,0,20.329969882965088,2290.0961620807648,,,,
259609,0.01,2047,3,0.7935008500000001,0.000141113625478479,0.3385252058506012,0,20.290342092514038,2310.4244978427887,,,,
261656,0.01,2047,8,0.7914743200000001,0.0001430675939783694,0.34968000650405884,0,20.149389028549194,2330.5949642658234,,,,
263702,0.01,2046,5,0.7894482850000002,0.00014889074849342305,0.3523389995098114,0,20.193894386291504,2350.8321993350983,,,,
265749,0.01,2047,7,0.78742225,0.00013469775992468335,0.35232073068618774,0,19.99473738670349,2370.848374605179,,,,
