steps,avg_rewards,episode_step,episode_head,eps_list,episode_loss,q_record,episode_reward,episode_times,episode_relative_times,eval_rewards,highest_eval_score,eval_stds,eval_steps
31721,241.11111111111111,412,1,1.0,,,189,0.22040176391601562,18.357849597930908,,,,
32236,240.54545454545453,515,0,1.0,,,210,0.2553863525390625,18.623483657836914,,,,
32743,239.25,507,0,1.0,,,168,0.25336337089538574,18.887016534805298,,,,
33503,240.21052631578948,760,8,1.0,,,294,0.3959479331970215,19.2940456867218,,,,
34065,242.58620689655172,562,6,1.0,,,378,0.2785367965698242,19.59160304069519,,,,
34690,243.10169491525423,625,1,1.0,,,273,0.303544282913208,19.90531826019287,,,,
35322,243.6,632,6,1.0,,,273,0.2980668544769287,20.215126991271973,,,,
36016,245.80327868852459,694,3,1.0,,,378,0.35536813735961914,20.580023050308228,,,,
36721,246.58064516129033,705,4,1.0,,,294,0.35144853591918945,20.94534158706665,,,,
37397,246.0,676,5,1.0,,,210,0.3278946876525879,21.28438925743103,,,,
38105,248.0625,708,5,1.0,,,378,0.38913822174072266,21.68922185897827,,,,
38842,248.44615384615383,737,7,1.0,,,273,0.38178300857543945,22.08466672897339,,,,
39529,248.8181818181818,687,6,1.0,,,273,0.37575411796569824,22.475901126861572,,,,
40198,249.80597014925374,669,5,1.0,,,315,0.34813976287841797,22.835978746414185,,,,
40832,248.91176470588235,634,7,1.0,,,189,0.30268096923828125,23.15109157562256,,,,
41568,248.65217391304347,736,8,1.0,,,231,0.36487364768981934,23.525956392288208,,,,
42257,249.0,689,1,1.0,,,273,0.3254530429840088,23.868085145950317,,,,
42858,248.1549295774648,601,8,1.0,,,189,0.2746148109436035,24.153699159622192,,,,
43469,249.375,611,8,1.0,,,336,0.2905263900756836,24.45566177368164,,,,
43976,248.54794520547946,507,0,1.0,,,189,0.24007701873779297,24.70657992362976,,,,
44442,246.8918918918919,466,2,1.0,,,126,0.2218632698059082,24.936954021453857,,,,
45075,246.12,633,1,1.0,,,189,0.2962679862976074,25.241770029067993,,,,
45787,247.30263157894737,712,1,1.0,,,336,0.33224916458129883,25.58523154258728,,,,
46406,247.63636363636363,619,2,1.0,,,273,0.31193971633911133,25.912325620651245,,,,
47012,246.8846153846154,606,1,1.0,,,189,0.28760600090026855,26.208616018295288,,,,
47713,246.68354430379748,701,3,1.0,,,231,0.341533899307251,26.55991792678833,,,,
48190,246.75,477,0,1.0,,,252,0.2186872959136963,26.78972601890564,,,,
48895,248.62962962962962,705,4,1.0,,,399,0.33309340476989746,27.13127326965332,,,,
49527,249.4390243902439,632,0,1.0,,,315,0.29462432861328125,27.438965559005737,,,,
50128,250.73493975903614,601,1,0.9999866111148086,0.008525034894470688,0.05394446849822998,357,1.9687719345092773,29.418832063674927,,,,
50772,251.5,644,1,0.999554995,0.009507401820258228,0.05388360470533371,315,6.20826530456543,51.36653399467468,,,,
51375,250.76470588235293,603,6,0.9989377300000001,0.009271116028238017,0.053874485194683075,189,5.700171709060669,57.30619549751282,,,,
51764,250.04651162790697,389,1,0.9984466900000002,0.012753778218094109,0.05397295579314232,189,3.8093466758728027,61.12214779853821,,,,
52262,250.31034482758622,498,1,0.9980076250000002,0.0101872755585385,0.05390644818544388,273,4.7941296100616455,65.92361450195312,,,,
52901,249.85227272727272,639,6,0.9974448100000001,0.010398609016192495,0.05385554954409599,210,6.1761393547058105,72.1062524318695,,,,
53503,249.1685393258427,602,4,0.9968305150000002,0.00931454181048105,0.053835004568099976,189,6.137223720550537,78.26288104057312,,,,
54190,250.36666666666667,687,2,0.9961924600000001,0.01028225924698818,0.053912512958049774,357,7.098268747329712,85.37027883529663,,,,
54636,249.46153846153845,446,1,0.995631625,0.010247684263699089,0.053844720125198364,168,4.291078567504883,89.66836166381836,,,,
55269,249.7173913043478,633,3,0.9950975200000001,0.010138700811910616,0.05392434820532799,273,5.90884804725647,95.58581066131592,,,,
55798,249.51612903225808,529,4,0.9945223300000002,0.010585763963831214,0.05387008562684059,231,5.102198362350464,100.6952018737793,,,,
56405,249.09574468085106,607,7,0.99396001,0.008872097878083239,0.05379018187522888,210,6.017289638519287,106.72308468818665,,,,
57085,250.67368421052632,680,3,0.9933229450000001,0.011339702768562502,0.05401609092950821,399,6.5244669914245605,113.2601888179779,,,,
57709,250.46875,624,1,0.9926774650000002,0.009323135860214302,0.053897541016340256,231,5.91969895362854,119.19424986839294,,,,
58260,250.70103092783506,551,8,0.9920958400000002,0.010033937750143601,0.05389739200472832,273,5.12419867515564,124.32739424705505,,,,
58733,250.5,473,8,0.9915889600000001,0.01152746618058383,0.05397137999534607,231,4.474819183349609,128.80989170074463,,,,
59149,249.66666666666666,416,7,0.9911489050000001,0.010927570058212842,0.053940873593091965,168,3.915909767150879,132.73178362846375,,,,
59758,249.69,609,2,0.9906415299999999,0.010175648493708788,0.05390305444598198,252,5.66044807434082,138.3992657661438,,,,
60276,248.22,518,4,0.9900836650000001,0.010237157032405906,0.06978476047515869,126,5.291730642318726,144.52746391296387,,,,
60618,248.01,342,7,0.9896579650000001,0.011470422195898389,0.08410963416099548,189,3.329071521759033,147.86314725875854,,,,
61117,248.22,499,1,0.98924167,0.009696237102797671,0.08415313065052032,210,4.866707801818848,152.73849081993103,,,,
61570,247.38,453,0,0.9887704300000001,0.010685847545283135,0.08382108062505722,231,4.482003927230835,157.234849691391,,,,
61921,246.33,351,4,0.9883724500000002,0.00881334579972103,0.08409187197685242,189,3.4584226608276367,160.69980001449585,,,,
62491,246.12,570,1,0.9879165550000001,0.011055779832804976,0.08349919319152832,378,5.6039557456970215,166.3132426738739,,,,
63085,246.54,594,2,0.987340375,0.009417184398981907,0.08367035537958145,357,6.088773250579834,172.41132950782776,,,,
63437,245.28,352,6,0.9868721050000001,0.009543531247588978,0.08357583731412888,126,3.419872283935547,175.83948016166687,,,,
63998,245.49,561,1,0.98642017,0.009857069495970676,0.08417771011590958,252,5.333690881729126,181.18220472335815,,,,
64511,244.23,513,5,0.9858885400000001,0.00998691721976128,0.08367566764354706,189,4.861839056015015,186.05061078071594,,,,
65123,243.81,612,5,0.9853316650000001,0.010773086698804698,0.08395793288946152,210,5.867626667022705,191.92572951316833,,,,
65820,243.81,697,1,0.9846837100000001,0.009609157880412467,0.08329512178897858,315,7.036645412445068,198.97789907455444,,,,
66204,243.6,384,7,0.9841486150000001,0.011563686403271142,0.08372471481561661,168,3.9081482887268066,202.8947629928589,,,,
66758,242.76,554,3,0.9836843049999999,0.009360392354230994,0.08377417922019958,210,5.76465916633606,208.6662573814392,,,,
67268,242.97,510,5,0.983157625,0.011136846603537582,0.08391115069389343,231,5.043113708496094,213.7164180278778,,,,
67861,244.02,593,2,0.9826116400000002,0.010507572206447264,0.08391443639993668,273,5.944493770599365,219.66813468933105,,,,
68214,242.76,353,2,0.98214337,0.008308621680080617,0.08349055796861649,168,3.6598246097564697,223.33758163452148,,,,
69042,244.65,828,5,0.9815587750000002,0.009313084854667765,0.08375713229179382,399,8.377952814102173,231.7232904434204,,,,
69502,243.81,460,5,0.9809212150000001,0.010477381734757294,0.08381476253271103,189,4.60437798500061,236.33793258666992,,,,
70237,245.91,735,2,0.98032969,0.009986216463451584,0.12343446910381317,378,7.3294501304626465,243.67626214027405,,,,
70865,245.49,628,4,0.979655005,0.010722364079783409,0.20784878730773926,210,6.134454250335693,249.81846141815186,,,,
71393,245.49,528,3,0.9790827850000002,0.008518754255143876,0.21007303893566132,189,5.418668985366821,255.24648880958557,,,,
71849,245.7,456,2,0.9785957050000001,0.011215246746689967,0.21236449480056763,189,4.61801815032959,259.87333512306213,,,,
72298,245.7,449,1,0.9781477300000001,0.009693368767142285,0.21133998036384583,168,4.562116861343384,264.4452455043793,,,,
72981,246.12,683,8,0.9775873900000001,0.010185405371407781,0.2131619155406952,210,6.7058587074279785,271.15807485580444,,,,
73430,245.7,449,8,0.9770270500000001,0.008774636719834467,0.2088736742734909,189,4.593726634979248,275.76090717315674,,,,
73846,245.91,416,3,0.9765988750000001,0.008358587326917128,0.2043742835521698,210,4.212247848510742,279.98084688186646,,,,
74331,246.12,485,8,0.9761528800000001,0.009140849489649406,0.20772267878055573,189,4.859718322753906,284.84809255599976,,,,
74874,245.7,543,5,0.9756440200000001,0.00872788714717471,0.2099238783121109,147,5.5989990234375,290.45487689971924,,,,
75551,246.12,677,7,0.9750401200000002,0.010796119486288147,0.21371424198150635,273,7.436193227767944,297.8990852832794,,,,
76217,247.38,666,6,0.9743753350000002,0.010096881479492406,0.21304915845394135,336,6.9187188148498535,304.8278822898865,,,,
76555,246.33,338,1,0.973878355,0.010088112379389471,0.2134043425321579,105,3.3613760471343994,308.4602224826813,,,,
76968,245.7,413,6,0.97350661,0.008784479351336028,0.21821841597557068,147,4.28838038444519,312.7565977573395,,,,
77598,246.75,630,3,0.9729903250000002,0.00877681726291181,0.21183691918849945,357,6.1614508628845215,318.9252460002899,,,,
78080,246.54,482,0,0.9724398850000001,0.009541009891506379,0.21129320561885834,189,4.781956672668457,323.71596455574036,,,,
78461,244.86,381,8,0.9720127000000001,0.0090054456909951,0.20983663201332092,189,3.7304015159606934,327.45351457595825,,,,
