steps,avg_rewards,episode_step,episode_head,eps_list,episode_loss,q_record,episode_reward,episode_times,episode_relative_times,eval_rewards,highest_eval_score,eval_stds,eval_steps,int_rew,total_rew,auxillary_loss
465,13.084178217942823,465,7,1.0,,,13.084178217942823,1.2744958400726318,3.4057507514953613,260.4,399.0,100.8,50128.0,0.0017810759600251913,0.00017810759600251914,
1001,11.58814704415854,536,4,1.0,,,10.092115870374258,0.959160566329956,4.377192497253418,176.4,399.0,68.49992700726038,100368.0,0.0017101080156862736,0.00017101080156862737,
1475,10.75402697852502,474,7,1.0,,,9.085786847257985,0.9062914848327637,5.29713773727417,273.0,399.0,88.09994324629274,150790.0,0.0017798927146941423,0.00017798927146941426,
2140,11.844571008317871,665,2,1.0,,,15.116203097696417,1.3090951442718506,6.619443655014038,210.0,399.0,32.5330601081423,201077.0,0.0017177857225760818,0.0001717785722576082,
2822,12.301917300543282,682,1,1.0,,,14.131302469444925,1.4884443283081055,8.125137329101562,512.4,651.0,78.12451599850075,251286.0,0.0019060575868934393,0.00019060575868934393,
3492,13.43906397938457,670,5,1.0,,,19.12479737359101,1.6366279125213623,9.783816814422607,289.8,651.0,24.489997958350262,301342.0,0.001847076928243041,0.0001847076928243041,
4202,13.679453817247751,710,4,1.0,,,15.12179284442683,1.4557249546051025,11.253183603286743,29.4,651.0,28.485785929126124,351988.0,0.0016989712603390217,0.0001698971260339022,
4862,13.483936523311428,660,2,1.0,,,12.115315465757162,1.4326610565185547,12.700212717056274,462.0,714.0,154.31785379534023,402345.0,0.0017308699898421764,0.00017308699898421764,
5404,13.21883691594445,542,7,1.0,,,11.098040057008637,1.0252807140350342,13.738812923431396,159.6,714.0,41.15142767875739,452372.0,0.0017754713771864772,0.00017754713771864772,
6072,13.408987914134055,668,7,1.0,,,15.120346897840497,1.3590199947357178,15.112122535705566,,,,,0.0017835507169365883,0.00017835507169365884,
6732,13.291724862782713,660,7,1.0,,,12.119094349269279,1.39046049118042,16.519876718521118,,,,,0.0017868871800601482,0.00017868871800601484,
7444,13.44409856430236,712,0,1.0,,,15.120209281018468,1.4973487854003906,18.032682180404663,,,,,0.0016709966585040092,0.00016709966585040095,
7820,13.107595901623768,376,8,1.0,,,9.069563949480656,0.8114111423492432,18.858555555343628,,,,,0.0018319011433050036,0.00018319011433050038,
8559,13.180683792873923,739,3,1.0,,,14.130826379125937,1.6086864471435547,20.478475332260132,,,,,0.00176282599568367,0.000176282599568367,
9100,12.975051532861936,541,3,1.0,,,10.096199892694132,1.3180711269378662,21.813788652420044,,,,,0.001746614696457982,0.00017466146964579822,
9704,12.670789362906362,604,3,1.0,,,8.106856813572797,1.6587207317352295,23.485034227371216,,,,,0.001741011394187808,0.00017410113941878082,
10409,12.756475575866096,705,7,1.0,,,14.127454983221844,1.5046184062957764,25.00530219078064,,,,,0.0017857104539871216,0.00017857104539871217,
11057,12.609633844670476,648,2,1.0,,,10.113324414344964,1.3827111721038818,26.404447078704834,,,,,0.0017222922760993242,0.00017222922760993243,
11675,12.635790031993958,618,6,1.0,,,13.106601403816613,1.355726957321167,27.774811267852783,,,,,0.0017012666212394834,0.00017012666212394835,
12119,12.408034053075244,444,7,1.0,,,8.080670453619677,1.055802583694458,28.847853422164917,,,,,0.0017984685255214572,0.00017984685255214574,
12704,12.393550676125702,585,3,1.0,,,12.10388313713483,1.1958658695220947,30.05655312538147,,,,,0.0017482561524957418,0.0001748256152495742,
